driverStandingsId,Driver_code,Driver_code,Driver_name,GP_year,Round,GrandPrix_name,points,position,wins,GP_Id
135,27,HUL,Nico Hülkenberg,2010,6,Monaco Grand Prix,1,16,0,342
136,44,HAM,Lewis Hamilton,2010,6,Monaco Grand Prix,59,7,0,342
137,14,ALO,Fernando Alonso,2010,6,Monaco Grand Prix,75,3,1,342
138,14,ALO,Fernando Alonso,2010,8,Canadian Grand Prix,94,4,1,344
139,44,HAM,Lewis Hamilton,2010,8,Canadian Grand Prix,109,1,2,344
140,27,HUL,Nico Hülkenberg,2010,8,Canadian Grand Prix,1,17,0,344
141,14,ALO,Fernando Alonso,2010,10,British Grand Prix,98,5,1,346
142,44,HAM,Lewis Hamilton,2010,10,British Grand Prix,145,1,2,346
143,27,HUL,Nico Hülkenberg,2010,10,British Grand Prix,2,17,0,346
144,14,ALO,Fernando Alonso,2010,12,Hungarian Grand Prix,141,5,2,348
145,44,HAM,Lewis Hamilton,2010,12,Hungarian Grand Prix,157,2,2,348
146,27,HUL,Nico Hülkenberg,2010,12,Hungarian Grand Prix,10,15,0,348
147,14,ALO,Fernando Alonso,2010,13,Belgian Grand Prix,141,5,2,349
148,44,HAM,Lewis Hamilton,2010,13,Belgian Grand Prix,182,1,3,349
149,27,HUL,Nico Hülkenberg,2010,13,Belgian Grand Prix,10,15,0,349
150,14,ALO,Fernando Alonso,2010,14,Italian Grand Prix,166,3,3,350
151,44,HAM,Lewis Hamilton,2010,14,Italian Grand Prix,182,2,3,350
152,27,HUL,Nico Hülkenberg,2010,14,Italian Grand Prix,16,14,0,350
153,27,HUL,Nico Hülkenberg,2010,15,Singapore Grand Prix,17,14,0,351
154,44,HAM,Lewis Hamilton,2010,15,Singapore Grand Prix,182,3,3,351
155,14,ALO,Fernando Alonso,2010,15,Singapore Grand Prix,191,2,4,351
156,44,HAM,Lewis Hamilton,2010,16,Japanese Grand Prix,192,4,3,352
157,27,HUL,Nico Hülkenberg,2010,16,Japanese Grand Prix,17,14,0,352
158,14,ALO,Fernando Alonso,2010,16,Japanese Grand Prix,206,2,4,352
