,GrandPrix_name,Driver_name,avg_pit_stop_time_ms,avg_pit_stop_count,total_pit_stop_time_ms
0,Abu Dhabi Grand Prix,Alexander Albon,21781.75,1.25,27227.1875
1,Abu Dhabi Grand Prix,Carlos Sainz,22186.5,1.3333333333333333,29582.0
2,Abu Dhabi Grand Prix,Charles Leclerc,21831.571428571428,1.2857142857142858,28069.163265306124
3,Abu Dhabi Grand Prix,Esteban Ocon,22228.25,1.25,27785.3125
4,Abu Dhabi Grand Prix,Fernando Alonso,22664.176470588234,1.588235294117647,35996.04498269896
5,Abu Dhabi Grand Prix,George Russell,24132.75,1.25,30165.9375
6,Abu Dhabi Grand Prix,Kevin Magnussen,22663.333333333332,1.2222222222222223,27699.62962962963
7,Abu Dhabi Grand Prix,Lance Stroll,22588.545454545456,1.5454545454545454,34909.57024793389
8,Abu Dhabi Grand Prix,Lando Norris,22026.666666666668,1.3333333333333333,29368.88888888889
9,Abu Dhabi Grand Prix,Lewis Hamilton,21390.0625,1.3125,28074.45703125
10,Abu Dhabi Grand Prix,Max Verstappen,21682.583333333332,1.5,32523.875
11,Abu Dhabi Grand Prix,Nico Hülkenberg,22663.363636363636,1.5454545454545454,35025.198347107435
12,Abu Dhabi Grand Prix,Sergio Pérez,22485.809523809523,1.5714285714285714,35334.84353741496
13,Abu Dhabi Grand Prix,Valtteri Bottas,23411.214285714286,1.4285714285714286,33444.5918367347
14,Abu Dhabi Grand Prix,Yuki Tsunoda,22054.25,1.5,33081.375
15,Australian Grand Prix,Alexander Albon,20812.5,1.0,20812.5
16,Australian Grand Prix,Carlos Sainz,22790.333333333332,1.5,34185.5
17,Australian Grand Prix,Charles Leclerc,21339.25,1.25,26674.0625
18,Australian Grand Prix,Esteban Ocon,21045.333333333332,1.0,21045.333333333332
19,Australian Grand Prix,Fernando Alonso,22529.0625,1.5625,35201.66015625
20,Australian Grand Prix,George Russell,20570.333333333332,1.3333333333333333,27427.11111111111
21,Australian Grand Prix,Kevin Magnussen,23334.0,1.5,35001.0
22,Australian Grand Prix,Lance Stroll,21406.125,1.625,34784.953125
23,Australian Grand Prix,Lando Norris,19591.5,1.0,19591.5
24,Australian Grand Prix,Lewis Hamilton,22282.533333333333,1.4666666666666666,32681.048888888887
25,Australian Grand Prix,Max Verstappen,25947.222222222223,1.4444444444444444,37479.32098765432
26,Australian Grand Prix,Nico Hülkenberg,23875.1,1.4,33425.14
27,Australian Grand Prix,Sergio Pérez,22867.5625,1.5,34301.34375
28,Australian Grand Prix,Valtteri Bottas,23369.30769230769,1.4615384615384615,34155.142011834316
29,Australian Grand Prix,Yuki Tsunoda,18443.0,1.0,18443.0
30,Austrian Grand Prix,Alexander Albon,21044.14285714286,1.5714285714285714,33069.36734693878
31,Austrian Grand Prix,Carlos Sainz,23163.0,1.5294117647058822,35425.76470588235
32,Austrian Grand Prix,Charles Leclerc,23532.25,1.5833333333333333,37259.39583333333
33,Austrian Grand Prix,Esteban Ocon,21587.714285714286,1.2857142857142858,27755.632653061228
34,Austrian Grand Prix,Fernando Alonso,21273.666666666668,1.8333333333333333,39001.722222222226
35,Austrian Grand Prix,George Russell,28881.0,1.25,36101.25
36,Austrian Grand Prix,Kevin Magnussen,21555.384615384617,1.8461538461538463,39794.55621301776
37,Austrian Grand Prix,Lance Stroll,21709.4,1.3,28222.22
38,Austrian Grand Prix,Lando Norris,22872.0,1.4444444444444444,33037.333333333336
39,Austrian Grand Prix,Lewis Hamilton,21569.05,1.6,34510.48
40,Austrian Grand Prix,Max Verstappen,20853.428571428572,1.5714285714285714,32769.67346938776
41,Austrian Grand Prix,Nico Hülkenberg,21708.3,2.1,45587.43
42,Austrian Grand Prix,Sergio Pérez,21705.58823529412,1.5294117647058822,33196.78200692042
43,Austrian Grand Prix,Valtteri Bottas,21369.8125,1.5625,33390.33203125
44,Austrian Grand Prix,Yuki Tsunoda,22450.2,1.4,31430.28
45,Azerbaijan Grand Prix,Alexander Albon,22612.333333333332,1.3333333333333333,30149.777777777774
46,Azerbaijan Grand Prix,Carlos Sainz,19498.636363636364,1.7272727272727273,33679.46280991736
47,Azerbaijan Grand Prix,Charles Leclerc,20058.375,1.625,32594.859375
48,Azerbaijan Grand Prix,Esteban Ocon,21769.8,2.2,47893.560000000005
49,Azerbaijan Grand Prix,Fernando Alonso,22457.666666666668,1.9166666666666667,43043.86111111112
50,Azerbaijan Grand Prix,George Russell,20341.0,2.0,40682.0
51,Azerbaijan Grand Prix,Kevin Magnussen,21689.88888888889,1.5555555555555556,33739.82716049383
52,Azerbaijan Grand Prix,Lance Stroll,20440.428571428572,1.5714285714285714,32120.673469387755
53,Azerbaijan Grand Prix,Lando Norris,19790.166666666668,1.6666666666666667,32983.61111111112
54,Azerbaijan Grand Prix,Lewis Hamilton,20206.69230769231,1.8461538461538463,37304.662721893495
55,Azerbaijan Grand Prix,Max Verstappen,20751.85714285714,1.2857142857142858,26680.95918367347
56,Azerbaijan Grand Prix,Nico Hülkenberg,19740.5,1.6666666666666667,32900.833333333336
57,Azerbaijan Grand Prix,Sergio Pérez,20580.153846153848,1.8461538461538463,37994.130177514795
58,Azerbaijan Grand Prix,Valtteri Bottas,21114.363636363636,1.8181818181818181,38389.7520661157
59,Azerbaijan Grand Prix,Yuki Tsunoda,23755.8,1.8,42760.44
60,Bahrain Grand Prix,Alexander Albon,24553.9,1.8,44197.020000000004
61,Bahrain Grand Prix,Carlos Sainz,26547.736842105263,1.6842105263157894,44711.97783933518
62,Bahrain Grand Prix,Charles Leclerc,24740.416666666668,1.75,43295.72916666667
63,Bahrain Grand Prix,Esteban Ocon,25079.615384615383,1.6923076923076923,42442.426035502955
64,Bahrain Grand Prix,Fernando Alonso,23854.7,1.9,45323.93
65,Bahrain Grand Prix,George Russell,25201.214285714286,2.0,50402.42857142857
66,Bahrain Grand Prix,Kevin Magnussen,25966.63157894737,1.9473684210526316,50566.59833795014
67,Bahrain Grand Prix,Lance Stroll,26744.25,1.5,40116.375
68,Bahrain Grand Prix,Lando Norris,24901.333333333332,1.75,43577.33333333333
69,Bahrain Grand Prix,Lewis Hamilton,25101.16,1.76,44178.0416
70,Bahrain Grand Prix,Max Verstappen,25967.647058823528,1.8235294117647058,47352.76816608996
71,Bahrain Grand Prix,Nico Hülkenberg,24834.727272727272,1.8636363636363635,46282.900826446275
72,Bahrain Grand Prix,Sergio Pérez,24384.689655172413,1.793103448275862,43724.271105826396
73,Bahrain Grand Prix,Valtteri Bottas,26261.85185185185,1.8888888888888888,49605.72016460905
74,Bahrain Grand Prix,Yuki Tsunoda,24801.4,1.8,44642.520000000004
75,Belgian Grand Prix,Alexander Albon,23248.25,1.25,29060.3125
76,Belgian Grand Prix,Carlos Sainz,26943.88888888889,1.4444444444444444,38918.950617283954
77,Belgian Grand Prix,Charles Leclerc,24824.666666666668,1.6666666666666667,41374.444444444445
78,Belgian Grand Prix,Esteban Ocon,24204.545454545456,1.7272727272727273,41807.85123966943
79,Belgian Grand Prix,Fernando Alonso,23405.5,1.5714285714285714,36780.07142857143
80,Belgian Grand Prix,George Russell,22748.0,1.3333333333333333,30330.666666666664
81,Belgian Grand Prix,Kevin Magnussen,23551.416666666668,1.5833333333333333,37289.743055555555
82,Belgian Grand Prix,Lance Stroll,23228.444444444445,1.4444444444444444,33552.1975308642
83,Belgian Grand Prix,Lando Norris,23206.0,1.25,29007.5
84,Belgian Grand Prix,Lewis Hamilton,22908.58823529412,1.588235294117647,36384.22837370242
85,Belgian Grand Prix,Max Verstappen,23461.75,1.9166666666666667,44968.35416666667
86,Belgian Grand Prix,Nico Hülkenberg,23243.46153846154,1.6153846153846154,37547.130177514795
87,Belgian Grand Prix,Sergio Pérez,22839.190476190477,1.6666666666666667,38065.31746031746
88,Belgian Grand Prix,Valtteri Bottas,23048.882352941175,1.7058823529411764,39318.68166089965
