constructorStandingsId,Constructor_name,GP_year,Round,GrandPrix_name,points,position,wins,GP_Id
159,McLaren,1977,13,Dutch Grand Prix,35,4,1,555
160,Ferrari,1977,13,Dutch Grand Prix,80,1,4,555
161,McLaren,1977,14,Italian Grand Prix,38,4,1,556
162,Ferrari,1977,14,Italian Grand Prix,86,1,4,556
163,McLaren,1978,5,Monaco Grand Prix,3,8,0,531
164,Ferrari,1978,5,Monaco Grand Prix,18,4,2,531
165,Williams,1978,5,Monaco Grand Prix,3,9,0,531
166,McLaren,1978,12,Austrian Grand Prix,12,8,0,538
167,Ferrari,1978,12,Austrian Grand Prix,35,4,3,538
168,Williams,1978,12,Austrian Grand Prix,5,11,0,538
169,McLaren,1978,13,Dutch Grand Prix,12,8,0,539
170,Ferrari,1978,13,Dutch Grand Prix,36,3,3,539
171,Williams,1978,13,Dutch Grand Prix,5,11,0,539
172,McLaren,1978,14,Italian Grand Prix,14,8,0,540
173,Ferrari,1978,14,Italian Grand Prix,40,3,3,540
174,Williams,1978,14,Italian Grand Prix,5,11,0,540
175,McLaren,1978,16,Canadian Grand Prix,15,8,0,542
176,Ferrari,1978,16,Canadian Grand Prix,58,2,5,542
177,Williams,1978,16,Canadian Grand Prix,11,9,0,542
178,Williams,1979,2,São Paulo Grand Prix,0,9,0,513
179,Ferrari,1979,2,São Paulo Grand Prix,3,5,0,513
180,Alfa Romeo,1979,7,Monaco Grand Prix,0,15,0,518
181,McLaren,1979,7,Monaco Grand Prix,8,6,0,518
182,Williams,1979,7,Monaco Grand Prix,10,5,0,518
183,Ferrari,1979,7,Monaco Grand Prix,54,1,4,518
184,Alfa Romeo,1979,9,British Grand Prix,0,15,0,520
185,McLaren,1979,9,British Grand Prix,11,7,0,520
186,Ferrari,1979,9,British Grand Prix,62,1,4,520
187,Alfa Romeo,1979,11,Austrian Grand Prix,0,15,0,522
188,Ferrari,1979,11,Austrian Grand Prix,74,1,4,522
189,Williams,1979,11,Austrian Grand Prix,49,3,3,522
190,McLaren,1979,11,Austrian Grand Prix,13,7,0,522
191,Alfa Romeo,1979,12,Dutch Grand Prix,0,15,0,523
192,Ferrari,1979,12,Dutch Grand Prix,80,1,4,523
193,Williams,1979,12,Dutch Grand Prix,58,3,4,523
194,Alfa Romeo,1979,13,Italian Grand Prix,0,15,0,524
195,Ferrari,1979,13,Italian Grand Prix,95,1,5,524
196,Williams,1979,13,Italian Grand Prix,62,2,4,524
197,McLaren,1979,13,Italian Grand Prix,13,7,0,524
198,Alfa Romeo,1979,14,Canadian Grand Prix,0,16,0,525
199,Ferrari,1979,14,Canadian Grand Prix,104,1,5,525
200,Williams,1979,14,Canadian Grand Prix,75,2,5,525
201,McLaren,1979,2,São Paulo Grand Prix,4,3,0,513
202,Williams,1979,9,British Grand Prix,23,4,1,520
203,McLaren,1979,12,Dutch Grand Prix,13,7,0,523
204,McLaren,1979,14,Canadian Grand Prix,14,7,0,525
205,Williams,1980,2,São Paulo Grand Prix,13,1,1,499
206,Alfa Romeo,1980,2,São Paulo Grand Prix,2,9,0,499
207,McLaren,1980,2,São Paulo Grand Prix,3,8,0,499
208,Ferrari,1980,2,São Paulo Grand Prix,0,12,0,499
209,Williams,1980,6,Monaco Grand Prix,34,1,2,503
210,Alfa Romeo,1980,6,Monaco Grand Prix,2,11,0,503
211,McLaren,1980,6,Monaco Grand Prix,6,8,0,503
212,Ferrari,1980,6,Monaco Grand Prix,5,10,0,503
213,Williams,1980,10,Austrian Grand Prix,77,1,4,507
214,Alfa Romeo,1980,10,Austrian Grand Prix,4,11,0,507
215,McLaren,1980,10,Austrian Grand Prix,7,9,0,507
216,Ferrari,1980,10,Austrian Grand Prix,6,10,0,507
217,Williams,1980,11,Dutch Grand Prix,80,1,4,508
218,Alfa Romeo,1980,11,Dutch Grand Prix,4,11,0,508
219,McLaren,1980,11,Dutch Grand Prix,8,8,0,508
220,Ferrari,1980,11,Dutch Grand Prix,6,10,0,508
221,Williams,1980,12,Italian Grand Prix,90,1,4,509
222,Alfa Romeo,1980,12,Italian Grand Prix,4,11,0,509
223,McLaren,1980,12,Italian Grand Prix,8,9,0,509
224,Ferrari,1980,12,Italian Grand Prix,6,10,0,509
225,Williams,1980,13,Canadian Grand Prix,105,1,5,510
226,Alfa Romeo,1980,13,Canadian Grand Prix,4,11,0,510
227,McLaren,1980,13,Canadian Grand Prix,11,8,0,510
228,Ferrari,1980,13,Canadian Grand Prix,8,10,0,510
229,Williams,1981,4,Emilia Romagna Grand Prix,43,1,2,486
230,Alfa Romeo,1981,4,Emilia Romagna Grand Prix,3,5,0,486
231,Ferrari,1981,4,Emilia Romagna Grand Prix,2,8,0,486
232,McLaren,1981,4,Emilia Romagna Grand Prix,1,11,0,486
233,Williams,1981,6,Monaco Grand Prix,58,1,3,488
234,Alfa Romeo,1981,6,Monaco Grand Prix,3,10,0,488
235,Ferrari,1981,6,Monaco Grand Prix,17,3,1,488
236,McLaren,1981,6,Monaco Grand Prix,1,11,0,488
237,Williams,1981,9,British Grand Prix,67,1,3,491
238,Alfa Romeo,1981,9,British Grand Prix,3,11,0,491
239,Ferrari,1981,9,British Grand Prix,28,3,2,491
240,McLaren,1981,9,British Grand Prix,20,5,1,491
241,Williams,1981,11,Austrian Grand Prix,72,1,3,493
242,Alfa Romeo,1981,11,Austrian Grand Prix,3,11,0,493
243,Ferrari,1981,11,Austrian Grand Prix,28,5,2,493
244,McLaren,1981,11,Austrian Grand Prix,22,6,1,493
245,Williams,1981,12,Dutch Grand Prix,76,1,3,494
246,Alfa Romeo,1981,12,Dutch Grand Prix,3,11,0,494
247,Ferrari,1981,12,Dutch Grand Prix,28,5,2,494
248,McLaren,1981,12,Dutch Grand Prix,22,6,1,494
249,Williams,1981,13,Italian Grand Prix,86,1,3,495
250,Alfa Romeo,1981,13,Italian Grand Prix,3,11,0,495
